ime,leto_prve_registracije,prevozeni_kilometri,vrsta_goriva,vrsta_menjalnika,vrsta_motorja,cena
Passat,1999,255000,bencinski motor,ročni menjalnik,"1781 ccm, 110 kW / 150 KM",2.150

Golf,2011,149000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.500

Touran,2014,145000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",11.690

Golf,1989,237000,diesel motor,ročni menjalnik,16 kW / 22 KM,1.600

Touran,2011,250001,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.850

Passat,2018,129719,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",19.980

Golf,2013,208191,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",7.999

Passat,2018,145201,diesel motor,avtomatski menjalnik,"1968 ccm, 176 kW / 239 KM",25.555

Golf,2019,112391,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",16.390

Touareg,2014,256401,diesel motor,avtomatski menjalnik,"2967 ccm, 180 kW / 245 KM",19.990

Tiguan,2017,142292,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",25.860

Touran,2015,95000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",14.990

Touran,2007,260000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.850

Tiguan,2009,295000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.500

Golf,2015,107000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Golf,2005,291400,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.400

Golf,2012,172024,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.880

Touran,2012,210000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",8.800

Golf,2006,275000,bencinski motor,ročni menjalnik,"1390 ccm, 125 kW / 170 KM",3.290

Golf,2017,39145,bencinski motor,avtomatski menjalnik,"1984 ccm, 169 kW / 230 KM",18.350

Golf,2021,9000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",28.700

Touran,2018,159000,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",15.490

Passat,2018,133000,diesel motor,avtomatski menjalnik,"1598 ccm, 88 kW / 120 KM",14.990

Passat,2016,262000,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",17.490

Touran,2016,240000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",11.900

Golf,2016,130572,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",14.950

Golf,2012,210000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.950

Passat,2015,142600,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",18.990

Passat,2002,527000,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",990

Touran,2016,134000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Tiguan,2017,103000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",20.990

Passat,2000,215000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",4.999

Touran,2004,317818,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",2.500

Passat,2012,227610,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",8.900

Passat,2001,256000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.250

Beetle,2013,132444,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",7.499

Golf,1999,367109,diesel motor,ročni menjalnik,"1896 ccm, 50 kW / 68 KM",500

Passat,2015,181000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.800

Sharan,2015,141000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",17.990

Touran,2011,200000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.980

Touran,2016,117000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",20.990

Caddy,2015,159002,diesel motor,ročni menjalnik,"1968 ccm, 75 kW / 102 KM",13.750

Golf,2007,275000,bencinski motor,ročni menjalnik,"1390 ccm, 90 kW / 122 KM",3.690

Golf,2015,148000,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",17.500

Touran,2018,146400,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",17.980

Touran,2016,168000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.600

Golf,2011,267000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",6.100

Golf,2004,325322,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",5.590

Polo,2003,166035,bencinski motor,ročni menjalnik,"1198 ccm, 47 kW / 64 KM",1.000

Golf,2021,1700,bencinski motor,avtomatski menjalnik,"1984 ccm, 180 kW / 245 KM",39.900

Golf,2000,136300,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",420

Scirocco,2010,218000,bencinski motor,ročni menjalnik,"1984 ccm, 147 kW / 200 KM",8.490

Golf,2006,152000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",4.000

Tiguan,2008,192454,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",8.690

Golf,2006,270000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",2.450

Passat,2016,178000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",18.990

Golf,2018,169002,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",13.990

Tiguan,2017,127505,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",22.490

Polo,2011,225000,bencinski motor,ročni menjalnik,"1390 ccm, 62 kW / 84 KM",6.800

Sharan,2013,258002,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",11.950

Touran,2016,108829,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",19.990

Passat,2018,204630,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",15.990

Touran,2006,325000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",1.300

Polo,2021,18000,bencinski motor,ročni menjalnik,"999 ccm, 70 kW / 95 KM",16.378

Golf,2008,249000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",6.490

Passat,2016,212016,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",10.490

Golf,2017,74990,bencinski motor,ročni menjalnik,"1197 ccm, 81 kW / 110 KM",13.950

Touran,2005,340000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.777

Passat,2011,268000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.800

Passat,2015,248001,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.950

Tiguan,2016,112866,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",23.500

Golf,2014,256000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8.499

Golf,2012,212000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.500

Golf,2010,122000,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",6.995

Golf,2005,289560,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.500

Golf,1986,227000,diesel motor,ročni menjalnik,"1588 ccm, 37 kW / 50 KM",750

Golf,2001,131601,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",25.888

Golf,1989,234545,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",10.590

Golf,2007,272000,bencinski motor,ročni menjalnik,"1984 ccm, 147 kW / 200 KM",7.200

Passat,2018,100749,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",18.999

Golf,2010,200085,diesel motor,ročni menjalnik,"1968 ccm, 125 kW / 170 KM",9.000

Polo,2003,119000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",1.990

Golf,2011,163884,bencinski motor,ročni menjalnik,"1197 ccm, 63 kW / 86 KM",6.490

Hrošč,1972,56868,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",18.500

Golf,2016,109000,bencinski motor,ročni menjalnik,"1197 ccm, 63 kW / 86 KM",11.900

Polo,2003,172289,bencinski motor,ročni menjalnik,"1198 ccm, 47 kW / 64 KM",900

Passat,2011,288000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",7.990

Golf,1999,244000,bencinski motor,ročni menjalnik,"1390 ccm, 55 kW / 75 KM",950

Golf,2016,172327,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.699

Golf,2010,241000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.400

Golf,1999,287000,diesel motor,ročni menjalnik,"1896 ccm, 81 kW / 110 KM",1.100

Lupo,1999,75000,diesel motor,ročni menjalnik,"999 ccm, 37 kW / 50 KM",1.111

Passat,2016,229000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",12.950

Golf,2018,11000,bencinski motor,ročni menjalnik,"1498 ccm, 96 kW / 131 KM",17.999

Golf,2014,156600,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",10.490

Golf,2014,149000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",13.111

Golf,2006,170000,bencinski motor,ročni menjalnik,"1600 ccm, 74 kW / 101 KM",850

Polo,2012,209000,diesel motor,ročni menjalnik,"1199 ccm, 55 kW / 75 KM",4.700

Passat,2014,270000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",10.850

Hrošč,1974,138389,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",25.970

Golf,2018,124190,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",17.970

Golf,2018,130390,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",16.490

Passat,2015,188400,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",11.777

ID.4,2014,96200,bencinski motor,ročni menjalnik,"1390 ccm, 90 kW / 122 KM",13.500

Golf,2015,147200,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",11.950

Golf,2013,188065,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.480

Golf,2014,235000,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",8.250

Polo,2010,243900,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",5.150

Passat,2003,296000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.950

Passat,2017,149657,diesel motor,avtomatski menjalnik,"1598 ccm, 88 kW / 120 KM",15.980

Passat,2013,220003,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",8.990

Passat,2014,257000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",8.390

Tiguan,2017,52494,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",28.290

Tiguan,2017,52494,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",28.290

Passat,2016,259001,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",11.850

Polo,2014,172000,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",6.990

Passat,2015,198000,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.999

Passat,2009,235500,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",4.400

Golf,2019,22100,bencinski motor,avtomatski menjalnik,"1984 ccm, 180 kW / 245 KM",26.999

Passat,2013,198000,diesel motor,ročni menjalnik,"1968 ccm, 130 kW / 177 KM",11.400

Passat,2017,131524,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",17.900

Golf,2005,259000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.490

Golf,2008,274711,bencinski motor,ročni menjalnik,"1595 ccm, 75 kW / 102 KM",4.890

Golf,2015,126000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.749

Golf,2015,23700,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",14.999

Tiguan,2011,123584,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",11.670

Passat,2003,394001,diesel motor,ročni menjalnik,"1896 ccm, 74 kW / 101 KM",1.600

Golf,2011,263000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.900

Passat,2002,418000,diesel motor,ročni menjalnik,"1896 ccm, 96 kW / 131 KM",1.390

Passat,2016,248002,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",11.850

Golf,2008,235000,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",3.990

Golf,2009,279000,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",6.490

Scirocco,2009,180895,bencinski motor,ročni menjalnik,"1390 ccm, 118 kW / 160 KM",6.000

Passat,2007,340000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.180

Golf,2014,177002,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",14.690

Golf,2011,52600,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",9.600

Passat,2012,299000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",6.750

Golf,2015,265331,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8.990

Jetta,2016,218001,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",9.990

Polo,2020,10906,bencinski motor,ročni menjalnik,"999 ccm, 48 kW / 65 KM",15.690

Golf,2009,149700,diesel motor,ročni menjalnik,"1968 ccm, 81 kW / 110 KM",6.800

Passat,2007,270000,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",3.400

Caravelle,2016,115000,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",28.990

Passat,2012,250479,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",10.490

Caddy,2018,30000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",24.490

Golf,2015,153000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",14.999

Golf,2011,247900,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.500

Transporter,2015,154600,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",24.555

Tiguan,2010,41000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",12.200

Golf,2001,267800,diesel motor,ročni menjalnik,"1896 ccm, 66 kW / 90 KM",680

Jetta,2011,211032,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",6.390

CrossTouran,2007,250000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",5.800

Golf,2015,120700,bencinski motor,ročni menjalnik,"1197 ccm, 63 kW / 86 KM",11.990

Golf,2018,167451,diesel motor,avtomatski menjalnik,"1598 ccm, 85 kW / 116 KM",17.990

Caddy,2007,338000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.950

Jetta,2006,283940,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.990

Caddy,2004,280000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",3.450

Caddy,2011,116000,diesel motor,ročni menjalnik,"1598 ccm, 75 kW / 102 KM",9.490

Passat,2017,153271,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",14.990

Passat,2015,245031,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",14.990

Golf,2009,171000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.190

Passat,2011,292001,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",6.990

Passat,2008,209115,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",7.990

Passat,2007,470000,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",2.400

Golf,2011,78000,bencinski motor,ročni menjalnik,"1197 ccm, 77 kW / 105 KM",7.600

